Cell,normalized_dimapd,mean_ploidy,ploidy_confidence,is_high_dimapd,is_noisy,coverage_per_1Mbp
0,1.1614135979,1.6122475025,11,0,0,322
1,1.09693311816,1.7429864125,10,0,0,411
2,1.19976504183,1.52339649939,9,0,0,527
3,0.952088289354,1.87846803805,9,0,0,367
4,1.19640108568,1.68376225968,11,0,0,347
5,1.19584136141,1.63408651017,12,0,0,209
6,0.813079610666,1.96224435544,4,0,0,421
7,0.789296270982,1.96008139708,3,0,0,459
8,1.08409642177,1.76825403577,1,0,1,261
9,0.895123103234,1.96064811533,6,0,0,265
10,1.36244549098,2.44586100233,8,0,0,404
11,1.22332671757,2.57064458263,11,0,0,493
12,1.20466993622,1.56152296649,10,0,0,279
13,0.858854649726,1.92570484691,11,0,0,558
14,1.11010550121,1.62291712441,14,0,0,223
15,1.31267151197,2.2949754589,11,0,0,391
16,1.14386776168,1.64250221513,13,0,0,227
17,1.27696651806,2.28611739349,11,0,0,185
18,1.31605933815,1.51817266514,11,0,0,317
19,1.34265504615,2.26982225027,11,0,0,272
20,1.21251893663,1.54034087686,9,0,0,269
21,1.22399202437,1.52446858294,13,0,0,269
22,0.90776804372,1.95092603097,7,0,0,261
23,0.982710134943,1.80778447359,11,0,0,389
24,1.08413415002,1.67887631527,15,0,0,275
25,0.749243236658,1.96094043576,7,0,0,501
26,1.11779319489,1.69385295014,15,0,0,370
27,1.17023534831,1.64890026518,8,0,0,320
28,1.07146208904,1.7446894498,12,0,0,266
29,0.985906673797,1.8454006608,15,0,0,427
30,1.38212563584,2.38959252273,6,0,0,404
31,1.03686150539,1.83508282006,16,0,0,279
32,1.35010732091,2.26310488876,11,0,0,411
33,1.06867043371,1.78582977577,7,0,0,519
34,1.08983776005,1.66833686508,11,0,0,134
35,1.34534074783,2.38147670231,8,0,0,324
36,1.25193879846,1.51686541013,13,0,0,291
37,1.25482636262,1.5350424197700001,9,0,0,479
38,0.916586656611,1.88187335167,7,0,0,489
39,0.796823393249,1.9610321483,2,0,1,316
40,1.321446833,1.46153682463,13,0,0,467
41,1.2451341729,2.25826415522,15,0,0,143
42,1.33710562927,2.74481560284,10,0,0,399
43,1.22501832209,1.56968893176,10,0,0,315
44,1.10527967811,2.05581015891,11,0,0,321
45,1.15517101559,2.1016212306,11,0,0,388
46,1.27751694249,1.57785719857,8,0,0,529
47,1.26002321405,2.56808693125,7,0,0,155
48,1.21802455941,1.47006510361,10,0,0,295
49,1.27130123392,1.62128788362,11,0,0,475
50,1.23247703171,2.43398782754,3,0,0,729
51,1.31823681848,2.33553228918,13,0,0,355
52,1.05411111981,1.6920835047,9,0,0,367
53,1.1743833509,4.1446235873,1,0,1,124
54,1.16266892821,2.08774429534,8,0,0,167
55,0.986723165847,1.81638281881,10,0,0,513
56,0.990121619108,1.8382458255,11,0,0,442
57,0.791128763248,1.96145365861,4,0,0,521
58,1.08758273489,1.7345505618,8,0,0,495
59,1.13740128246,1.68958354012,12,0,0,348
60,1.27133316873,1.46733689718,13,0,0,385
61,1.22540875712,1.51860333215,14,0,0,248
62,0.981384740662,1.79754923165,5,0,0,463
63,1.35437741174,1.43546441496,7,0,0,567
64,1.28824191111,1.5108199325,14,0,0,385
65,1.27113284453,1.52711539826,11,0,0,399
66,1.26452836166,2.31619785239,9,0,0,289
67,1.16549271342,1.71694140168,15,0,0,354
68,1.04037252142,1.75310007444,16,0,0,174
69,1.0834715607,1.68163861642,13,0,0,329
70,1.28645093676,2.49200034041,5,0,0,295
71,1.31483881687,2.24042034206,3,0,0,190
72,0.978681892566,1.82620935147,8,0,0,498
73,1.25078389245,1.46553044267,8,0,0,316
74,1.11428443985,1.60563679797,13,0,0,212
75,1.1005538505,1.75692844331,13,0,0,393
76,1.39059386707,2.53273786298,3,0,0,428
77,1.01023808538,1.96872252942,13,0,0,273
78,1.23935850341,2.30396257177,8,0,0,207
79,1.2397525170199999,1.50797759183,10,0,0,316
80,1.3040792648,2.44632888586,5,0,0,316
81,1.22417006597,1.60193224379,11,0,0,495
82,1.21792248892,1.62804934278,10,0,0,481
83,1.20867756282,1.45386666288,11,0,0,275
84,0.815664767292,1.9538219383,12,0,0,555
85,1.07794738757,1.71238354533,9,0,0,411
86,0.762396710526,1.95880505597,2,0,1,427
87,1.1398628922,1.68073365865,10,0,0,498
88,1.00700309518,1.82337262797,9,0,0,269
89,1.17374064974,1.69525288628,16,0,0,336
90,1.29952468561,1.5138758832,9,0,0,371
91,1.17422677905,1.64007939321,15,0,0,259
92,1.12713504809,2.00119060274,18,0,0,84
93,1.21944041087,1.64696330438,14,0,0,491
94,1.19403543251,2.17185317536,7,0,0,135
95,1.0545393901,1.80635397691,12,0,0,266
96,1.23539145825,2.12885183846,12,0,0,166
97,1.12500710497,1.71676153077,12,0,0,174
98,1.38204420403,2.74983503033,4,0,0,564
99,0.81018331913,1.95050164853,8,0,0,544
100,1.05154455903,1.71567327666,7,0,0,424
101,1.23894779702,1.56441413339,11,0,0,296
102,1.25989718311,2.27639256166,11,0,0,200
103,1.18148647082,1.61200008508,12,0,0,288
104,1.18963600133,1.56811943686,10,0,0,345
105,1.24770512049,1.49532478396,9,0,0,240
106,1.01391292277,1.75888857386,10,0,0,235
107,1.42267791658,2.29040475717,9,0,0,393
108,1.20733973987,2.16982389946,13,0,0,351
109,1.22858082326,2.12534301456,12,0,0,245
110,1.0313922084,1.77950612207,14,0,0,290
111,1.27248192168,2.38585680959,8,0,0,291
112,1.30677508067,2.18527706505,2,0,1,137
113,1.10754430199,1.69094054177,8,0,0,364
114,1.29367346779,2.47816343031,9,0,0,502
115,1.21079313081,4.12329718619,2,0,1,126
116,0.861936932728,1.96282382961,10,0,0,334
117,1.18644239372,1.62455692613,12,0,0,230
118,1.07856830799,1.7598618665,12,0,0,404
119,1.25872323389,6.57063171995,7,0,0,126
120,0.973293645779,1.89218229499,11,0,0,128
121,1.1176226623,1.7434111606,10,0,0,413
122,1.19612855837,1.65947371406,14,0,0,200
123,1.36505563225,2.42752533137,12,0,0,387
124,1.25384654827,1.4963384635,-4,0,1,254
125,1.18006498935,2.11472597885,10,0,0,154
126,1.08116435581,1.6924696873,10,0,0,254
127,1.24996673758,1.57156129215,7,0,0,320
128,0.982566284508,1.81164352,15,0,0,386
129,1.09263611784,2.03060609712,7,0,0,208
130,1.00583036335,1.83945201208,13,0,0,176
131,1.29795732944,2.80525282034,8,0,0,301
132,1.1410622268,1.57452586054,9,0,0,308
133,0.776582901646,1.95911102286,6,0,0,469
134,1.23108447153,1.54427929142,14,0,0,287
135,1.04572475736,1.77778250541,10,0,0,453
136,1.26769094238,2.2662682038,11,0,0,163
137,0.914307149757,1.85662940146,12,0,0,439
138,0.963692317311,1.8274607946,9,0,0,406
139,0.863809217384,1.957682084,15,0,0,266
140,1.2132811697600001,1.94178555482,4,0,0,104
141,0.852458543668,1.91860869072,10,0,0,367
142,1.09507948688,1.72108954494,13,0,0,390
143,1.09052920371,1.65948049738,9,0,0,248
144,1.09628981198,1.74372247711,8,0,0,483
145,1.30285678973,2.14018658462,9,0,0,181
146,1.07574226576,1.77762724848,9,0,0,521
147,0.837922246327,1.89746189295,4,0,0,460
148,1.15683797722,1.66955257747,9,0,0,443
149,1.10567382987,2.03733945734,-3,0,0,173
150,1.3043513119,1.57088750346,10,0,0,367
151,1.26022099537,1.47257752144,9,0,0,426
152,1.24858661739,2.23809962577,5,0,0,109
153,1.26014221535,1.59292562546,8,0,0,321
154,1.2289456385,2.79477543148,2,0,1,251
155,0.807196101805,1.95908601083,2,0,1,373
156,1.26435722822,2.36392003347,-3,0,0,362
157,0.898805366888,1.95925093739,1,0,1,186
158,1.10562077296,1.7101479076,11,0,0,333
159,1.27183159632,2.35674547983,-3,0,0,434
160,1.34012764468,2.30713060246,11,0,0,214
161,1.19462427686,2.50262281137,4,0,0,174
162,1.12733455418,1.70912197128,13,0,0,217
163,1.13146513254,1.67487272573,8,0,0,309
164,1.25528677088,2.21045275898,10,0,0,223
165,1.23608173922,5.27297672902,-3,0,0,179
166,1.24190697993,1.55531670356,11,0,0,426
167,1.30614276544,1.46702599199,7,0,0,455
168,1.30328315037,2.32382276577,7,0,0,349
169,1.29201145293,2.70086318791,5,0,0,344
170,1.17371714554,2.13799311098,8,0,0,108
171,1.27973689276,2.45053254102,8,0,0,267
172,1.13301755392,1.65765625222,12,0,0,355
173,0.994709314264,1.84364118602,12,0,0,520
174,0.901670273375,1.8218479648300001,7,0,0,581
175,1.22202410883,2.29315845445,10,0,0,285
176,1.1601624206,1.61361058333,11,0,0,255
177,1.11313476797,1.6552525983,11,0,0,163
178,1.267694954,2.53036287949,4,0,0,300
179,1.2644332493,1.60905013979,9,0,0,571
180,1.15895168678,1.59554169472,9,0,0,149
181,1.21807114711,2.06929892961,9,0,0,169
182,0.954234067621,1.90679306017,13,0,0,361
183,1.25487711561,1.5838250312,7,0,0,452
184,1.1259590034,1.64821943836,8,0,0,367
185,1.2256599518,1.60697882113,1,0,1,157
186,1.27826242021,1.54802299943,8,0,0,369
187,1.24083352771,1.62040338875,11,0,0,188
188,1.32373948104,0.96863084185,-4,0,1,170
189,1.34149012725,2.30208665688,11,0,0,257
190,1.10024645771,1.64623260233,11,0,0,276
191,1.3307733653,2.07376189193,6,0,0,136
192,1.25513743952,5.43502512527,0,0,1,127
193,1.10478979295,1.80138782569,14,0,0,186
194,1.32068533624,2.92270390982,11,0,0,279
195,1.06747198132,1.71763329552,9,0,0,291
196,1.52179349982,1.31930817744,1,1,1,61
197,1.03042229026,1.7562222568900001,9,0,0,428
198,1.19161068452,2.50278189254,8,0,0,153
199,1.34093818162,5.79292306384,0,0,1,203
200,1.23225690531,1.60257601441,10,0,0,368
201,1.28056997863,5.16388770736,-3,0,0,108
202,1.2151761698,2.61623181828,10,0,0,287
203,0.782285262047,1.96150819812,7,0,0,397
204,1.32932470903,2.21557701306,12,0,0,265
205,1.11887206537,2.58962163848,2,0,1,105
206,1.19466262144,2.52852473893,9,0,0,199
207,1.10904969599,2.04189888676,12,0,0,251
208,0.837236210678,1.90972453646,6,0,0,444
209,1.30813542824,2.42624171305,6,0,0,168
210,1.18496117598,1.58512577211,10,0,0,381
211,1.12796276775,1.67782426778,14,0,0,526
212,1.27081168954,2.42793000475,9,0,0,326
213,1.26740486361,2.10827343739,10,0,0,140
214,0.92567266,1.94432510227,9,0,0,337
215,1.20054943545,1.57919402181,7,0,0,371
216,1.29908390233,2.12458361093,11,0,0,149
217,1.23263554268,1.55594241951,10,0,0,377
218,1.2472165933,2.49201454607,9,0,0,162
219,1.29711497086,2.26694455669,11,0,0,287
220,1.24336663668,1.50954298598,14,0,0,275
221,1.13072139205,1.73707838076,9,0,0,433
222,1.30191436765,2.44901273795,8,0,0,257
223,1.14396327864,1.70601454721,10,0,0,326
224,1.11138132526,1.78711309882,6,0,0,86
225,1.27446740885,2.54137855223,7,0,0,388
226,1.28911301291,2.31919180453,8,0,0,431
227,1.20749990579,2.13509835194,11,0,0,169
228,1.39440483943,2.3234764484,6,0,0,250
229,1.24696299858,1.62108458085,12,0,0,400
230,0.997221895241,1.8581980577,13,0,0,326
231,1.07408075142,1.64817111632,15,0,0,151
232,1.27898736251,2.31026168357,10,0,0,201
233,0.804972986742,1.96247226535,2,0,1,417
234,1.21185396225,1.51515022555,11,0,0,447
235,1.29369285843,2.33171842415,10,0,0,275
236,1.06229458162,1.76192129958,12,0,0,182
237,1.25185690787,4.03871223996,-3,0,0,342
238,1.21297759011,0.967958714946,-4,0,1,141
239,1.25126170318,1.54948655395,12,0,0,314
240,1.25899341883,1.58794743225,9,0,0,416
241,1.22691345204,1.59364027777,14,0,0,433
242,1.07265304152,2.02869212668,11,0,0,179
243,1.2874557328,2.31251285178,10,0,0,167
244,1.20173826162,1.62182210151,13,0,0,332
245,1.14140058573,1.65654739111,6,0,0,380
246,1.1646425678,5.25207159312,3,0,0,115
247,1.3338447422,2.27927774586,10,0,0,433
248,0.934419614385,1.91679544069,13,0,0,227
249,1.06209698878,1.74844216332,10,0,0,183
250,0.878229405783,1.94702446769,2,0,1,168
251,1.31013591282,5.01158199899,0,0,1,127
252,1.14546656695,1.70614063087,12,0,0,448
253,1.2279132519,1.63512794878,7,0,0,433
254,1.17486962298,1.61327169466,10,0,0,307
255,0.976005536484,1.84328971804,13,0,0,208
256,1.20033297053,1.50891546789,13,0,0,229
257,1.30629018552,2.3432711951,10,0,0,345
258,0.72432583659,1.96136173472,2,0,1,625
259,1.23359296205,2.4193042911,5,0,0,168
260,1.1879594966,1.65591542705,10,0,0,449
261,1.10980138024,1.73063211833,9,0,0,144
262,1.31068384292,2.86605216848,6,0,0,425
263,1.33138569209,2.36103743209,9,0,0,294
264,1.25016935492,1.56605045117,12,0,0,301
265,1.27725186609,1.48447508991,9,0,0,434
266,1.27236507757,2.27554065453,10,0,0,189
267,0.975484681536,1.91882410472,1,0,1,130
268,1.38656205476,2.45278227065,4,0,0,447
269,1.21989930219,2.28132820087,13,0,0,162
270,0.89930191312,1.95800017013,3,0,0,231
271,1.01566941523,1.88028268852,16,0,0,271
272,0.984847759066,1.8545495786,9,0,0,199
273,0.839993363407,1.9610067352,7,0,0,425
274,1.31809336987,2.33440644434,10,0,0,268
275,1.11239075803,1.67855041853,13,0,0,200
276,1.25545946059,2.40950097875,8,0,0,156
277,1.24920430566,2.08825176709,14,0,0,189
278,1.18087914286,2.13742292154,13,0,0,119
279,0.944047342076,1.95610627499,13,0,0,143
280,1.21577033118,1.64262620533,13,0,0,235
281,0.800071755263,1.96108665291,4,0,0,335
282,1.26934835805,1.49736894361,12,0,0,264
283,1.43844843246,2.36583721805,11,0,0,410
284,1.12482497679,2.04816408105,-3,0,0,139
285,1.11807884138,1.63691987011,15,0,0,232
286,1.1784775163,2.1567576382800002,10,0,0,210
287,1.31988468345,0.97658957694,-4,0,1,149
288,1.01185663007,1.85075134675,12,0,0,166
289,0.799739390545,3.22328637965,4,0,0,413
290,1.21610527888,1.59051818871,13,0,0,204
291,1.18603257366,4.37077146603,2,0,1,81
292,1.1901944089,1.54914557186,8,0,0,364
293,1.27625244524,2.35508838581,-4,0,1,162
294,1.28025101811,2.1478122119,11,0,0,400
295,1.25413603395,2.49743637021,3,0,0,331
